#--------------------------------------------------------------------------------------------------------------------------------------------------------------
# Results of thermal analysis
#--------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^3	                       Comments
#        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	            
#          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	            
#--------------------------------------------------------------------------------------------------------------------------------------------------------------
    6.1942	    44.4159	     6.3241	  8982.7731	     0.0000	  8982.7731	   977.0217	   977.0217	   932.1078	   906.4808	     1.0913	   318.6802	     6.6928	 regenerative cooling, opposite flow
    6.4279	    44.4159	     6.3235	  9082.7260	     0.0000	  9082.7260	   977.3977	   977.3977	   931.9840	   906.0703	     1.1022	   315.3645	     6.7632	 regenerative cooling, opposite flow
    6.6617	    44.4159	     6.3229	  9177.9284	     0.0000	  9177.9284	   977.7321	   977.7321	   931.8424	   905.6555	     1.1130	   312.1437	     6.8330	 regenerative cooling, opposite flow
    6.8954	    44.4159	     6.3223	  9268.7287	     0.0000	  9268.7287	   978.0279	   978.0279	   931.6842	   905.2365	     1.1237	   309.0133	     6.9022	 regenerative cooling, opposite flow
    7.1292	    44.4159	     6.3217	  9355.4419	     0.0000	  9355.4419	   978.2877	   978.2877	   931.5105	   904.8134	     1.1343	   305.9691	     6.9709	 regenerative cooling, opposite flow
    7.3629	    44.4159	     6.3211	  9438.3529	     0.0000	  9438.3529	   978.5139	   978.5139	   931.3222	   904.3866	     1.1448	   303.0073	     7.0390	 regenerative cooling, opposite flow
    7.5966	    44.4159	     6.3205	  9517.7202	     0.0000	  9517.7202	   978.7088	   978.7088	   931.1202	   903.9561	     1.1553	   300.1240	     7.1066	 regenerative cooling, opposite flow
    7.8304	    44.4159	     6.3199	  9593.7793	     0.0000	  9593.7793	   978.8743	   978.8743	   930.9054	   903.5220	     1.1656	   297.3159	     7.1738	 regenerative cooling, opposite flow
    8.0641	    44.4159	     6.3193	  9666.7446	     0.0000	  9666.7446	   979.0122	   979.0122	   930.6785	   903.0846	     1.1758	   294.5796	     7.2404	 regenerative cooling, opposite flow
    8.2979	    44.4159	     6.3187	  9736.8123	     0.0000	  9736.8123	   979.1242	   979.1242	   930.4402	   902.6439	     1.1859	   291.9122	     7.3066	 regenerative cooling, opposite flow
