#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  135.5400	    29.7800	     1.5553	  3699.6004	   142.5165	  3842.1168	   691.2800	   691.2800	   674.4400	   369.8100	     3.9830	     4.1800	   722.1800	 regenerative cooling, opposite flow	 
  139.0300	    27.7700	     1.7468	  4139.3710	   139.8033	  4279.1743	   698.8300	   698.8300	   680.1100	   367.8500	     3.9830	     4.4600	   724.2100	 regenerative cooling, opposite flow	 
  142.5300	    25.7500	     1.9780	  4666.5228	   135.3328	  4801.8556	   706.8800	   706.8800	   685.8700	   365.8000	     3.9840	     4.7800	   726.3500	 regenerative cooling, opposite flow	 
  146.0200	    23.9100	     2.2321	  5240.4839	   127.5602	  5368.0442	   714.5700	   714.5700	   691.0800	   363.7100	     3.9850	     5.1100	   728.5300	 regenerative cooling, opposite flow	 
  149.5200	    22.5800	     2.4485	  5722.2413	   116.5371	  5838.7784	   720.3100	   720.3100	   694.7600	   361.6300	     3.9850	     5.3800	   730.6900	 regenerative cooling, opposite flow	 
  153.0100	    21.7000	     2.6076	  6068.0250	   105.6780	  6173.7030	   723.9400	   723.9400	   696.9300	   359.5700	     3.9860	     5.5700	   732.8300	 regenerative cooling, opposite flow	 
  156.5100	    21.2200	     2.6940	  6244.8906	    95.7747	  6340.6654	   725.2700	   725.2700	   697.5300	   357.5200	     3.9870	     5.6700	   734.9700	 regenerative cooling, opposite flow	 
  159.0400	    21.1200	     2.7057	  6256.0457	    90.0756	  6346.1213	   724.7500	   724.7500	   696.9800	   356.0300	     3.9870	     5.6900	   736.4900	 regenerative cooling, opposite flow	 
  166.0300	    22.4200	     2.4133	  5543.9192	    60.4148	  5604.3341	   711.5200	   711.5200	   687.0000	   351.9900	     3.9880	     5.3600	   740.6100	 regenerative cooling, opposite flow	 
  173.0200	    23.9000	     2.1451	  4914.4905	    48.2010	  4962.6915	   703.1800	   703.1800	   681.4700	   348.0600	     3.9900	     5.0300	   744.3600	 regenerative cooling, opposite flow	 
  180.0100	    25.3800	     1.9222	  4395.9717	    41.5522	  4437.5239	   696.1300	   696.1300	   676.7100	   344.2800	     3.9910	     4.7400	   747.9600	 regenerative cooling, opposite flow	 
  187.0000	    26.8500	     1.7343	  3961.0987	    36.5942	  3997.6929	   689.7600	   689.7600	   672.2600	   340.6300	     3.9920	     4.4800	   751.4500	 regenerative cooling, opposite flow	 
  193.9900	    28.3200	     1.5742	  3591.7739	    33.0305	  3624.8045	   683.8600	   683.8600	   668.0000	   337.0900	     3.9930	     4.2500	   754.8200	 regenerative cooling, opposite flow	 
  200.9800	    29.7800	     1.4364	  3275.0169	    30.1061	  3305.1230	   678.3100	   678.3100	   663.8500	   333.6500	     3.9940	     4.0400	   758.0900	 regenerative cooling, opposite flow	 
  207.9700	    31.2400	     1.3147	  2994.0287	    27.3125	  3021.3412	   674.4300	   674.4300	   661.2100	   330.3100	     3.9940	     3.8500	   761.1000	 regenerative cooling, opposite flow	 
  214.9600	    32.6900	     1.2084	  2748.7689	    25.1008	  2773.8697	   670.9200	   670.9200	   658.7800	   327.0700	     3.9950	     3.6700	   763.9700	 regenerative cooling, opposite flow	 
  221.9500	    34.1300	     1.1154	  2534.8903	    23.0249	  2557.9152	   667.4100	   667.4100	   656.2100	   323.9100	     3.9960	     3.5100	   766.7600	 regenerative cooling, opposite flow	 
  228.9400	    35.5700	     1.0335	  2347.0708	    21.4341	  2368.5049	   663.9300	   663.9300	   653.5600	   320.8200	     3.9960	     3.3700	   769.4900	 regenerative cooling, opposite flow	 
  235.9300	    36.9900	     0.9611	  2181.3308	    19.8586	  2201.1894	   660.4500	   660.4500	   650.8200	   317.8100	     3.9970	     3.2400	   772.1600	 regenerative cooling, opposite flow	 
  242.9200	    38.4100	     0.8967	  2034.3200	    18.4079	  2052.7279	   656.9900	   656.9900	   648.0000	   314.8600	     3.9980	     3.1100	   774.7700	 regenerative cooling, opposite flow	 
  249.9100	    39.8200	     0.8386	  1901.1682	    17.0099	  1918.1782	   654.2300	   654.2300	   645.8400	   311.9700	     3.9980	     3.0000	   777.2700	 regenerative cooling, opposite flow	 
  256.9000	    41.2200	     0.7854	  1778.7644	    16.0226	  1794.7870	   652.6400	   652.6400	   644.7900	   309.1500	     3.9990	     2.8900	   779.6300	 regenerative cooling, opposite flow	 
  263.8900	    42.6000	     0.7378	  1669.6499	    14.8365	  1684.4865	   650.8500	   650.8500	   643.4900	   306.3800	     3.9990	     2.8000	   781.9400	 regenerative cooling, opposite flow	 
  270.8800	    43.9700	     0.6951	  1571.8975	    13.9482	  1585.8457	   648.9800	   648.9800	   642.0400	   303.6700	     3.9990	     2.7100	   784.1900	 regenerative cooling, opposite flow	 
  280.5600	    45.8400	     0.6429	  1452.7479	    12.8775	  1465.6254	   646.2700	   646.2700	   639.8500	   300.0000	     4.0000	     2.5900	   787.2800	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
