Time,ox_n2_p,ox_tank_p,ox_ereg_angle,ox_feedforward,ox_proportional_term,ox_kp,fuel_n2_p,fuel_tank_p,fuel_ereg_angle,fuel_feedforward,fuel_proportional_term,fuel_kp,chamber_p,ox_inj_p,fuel_inj_p,fuel_inj_T,fuel_vdot,impulse_integral,ox_main_angle,fuel_main_angle,thrust,n2_fill_p
-4.914821533203053,178.68641845766226,45.101166446476235,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.16968251781452,45.519835752306854,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0851234197616575,1.0450783967971802,1.0451829433441162,30.8046875,0.0,0.0,0.0,0.0,-36.30810955752779,216.28104971520952
-4.714742919921832,178.67514090292485,45.07664260398157,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.25227299229584,45.5302395085672,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0915287733078003,1.0607261657714844,1.0286990404129028,30.8125,0.0,0.0,0.0,0.0,-59.02095543289799,216.2342628112531
-4.514469482421873,178.66385236679992,45.05209488168098,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.2197360314144,45.53045820200203,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.088676929473877,1.0407036542892456,1.0447498559951782,30.7890625,0.0,0.0,0.0,0.0,-52.959833440550874,216.33019476333052
-4.316244873046799,178.71301144216253,45.05184276170954,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.17656799659918,45.52499776377729,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0759706497192385,1.0462430715560913,1.0414800643920898,30.7421875,0.0,0.0,0.0,0.0,-53.772594420700806,216.33230260943043
-4.113739501953091,178.7406611025145,45.03480791940865,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.20576159519965,45.52292199608992,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.084675431251526,1.0385833978652954,1.042092204093933,30.765625,0.0,0.0,0.0,0.0,-50.42781589236347,216.34913042393794
-3.9146437988281377,178.72391650846984,44.9890148318422,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.1970138349566,45.526258755340216,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0819729566574097,1.0431523323059082,1.033656120300293,30.78125,0.0,0.0,0.0,0.0,-38.98288748442518,216.45659674174112
-3.7137304687499864,178.7071941894343,44.99231672649005,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.09908576322093,45.49867308493693,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0791659355163574,1.0387625694274902,1.0337308645248413,30.65625,0.0,0.0,0.0,0.0,-35.528090360842114,216.37379230765742
-3.5131237792968477,178.6866686320414,44.98010508732944,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.18236349607616,45.50114637669815,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0799871683120728,1.0526633262634275,1.0327155590057373,30.7890625,0.0,0.0,0.0,0.0,-44.035880258090806,216.47367368386617
-3.3127988281249827,178.66029514803233,44.935185039430316,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.0573345685375,45.48130282911184,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0716854333877563,1.0302518606185913,1.0319092273712158,30.7265625,0.0,0.0,0.0,0.0,-49.05686563351853,216.4954197977344
-3.11080175781251,178.67268529344315,44.9193913247561,0.0,23.08905029296875,5.557213397880786e-40,15.0,179.04789238384654,45.48051130008927,950.0,115.93602752685548,5.557213397880786e-40,15.0,1.0872435569763184,1.0436002016067505,1.036746859550476,30.7421875,0.0,0.0,0.0,0.0,-48.32084951493379,216.5357575957724
